Date,Time,Station,SamplingMethod,Depth,Lab,OrigTaxon,Taxon,Kingdom,Phylum,Class,AlgalGroup,DiatomSoftbody,Genus,Species,Units_per_mL,Cells_per_mL,Biovolume_per_mL,PhytoForm,QualityCheck,Debris
2017-11-14T00:00:00Z,02:03,SHER,NA,NA,BSA,NA,Cocconeis placentula,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Cocconeis,placentula,563.04,1689.11,433666.78,i,Good,moderate
2017-11-14T00:00:00Z,02:03,SHER,NA,NA,BSA,NA,Cyclotella sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Diatom,Cyclotella,sp.,375.36,750.72,580288.66,i,Good,moderate
2017-11-14T00:00:00Z,02:03,SHER,NA,NA,BSA,NA,Epithemia sorex,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Epithemia,sorex,187.68,187.68,217574.61,i,Good,moderate
2017-11-14T00:00:00Z,02:03,SHER,NA,NA,BSA,NA,Navicula sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Navicula,sp.,563.04,1689.11,484219.12,i,Good,moderate
2017-11-14T00:00:00Z,02:03,SHER,NA,NA,BSA,NA,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Chlorella,sp.,9946.99,527190.52,9045150.16,i,Good,moderate
2017-11-14T00:00:00Z,02:03,SHER,NA,NA,BSA,cf. Plagioselmis prolonga,Teleaulax amphioxeia,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Soft Body,Teleaulax,amphioxeia,3190.54,54239.25,7011714.83,i,Good,moderate
2017-11-14T00:00:00Z,02:03,SHER,NA,NA,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Eucapsis,microscopica,60432.66,39220797.48,10514403.44,c,Good,moderate
2017-11-01T00:00:00Z,01:37,SHER,NA,NA,BSA,NA,Amphora sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Amphora,sp.,250.24,500.48,40254.99,i,Good,low
2017-11-01T00:00:00Z,01:37,SHER,NA,NA,BSA,NA,Cocconeis placentula,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Cocconeis,placentula,125.12,125.12,20448.49,i,Good,low
2017-11-01T00:00:00Z,01:37,SHER,NA,NA,BSA,NA,Cyclotella sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Diatom,Cyclotella,sp.,375.36,1126.07,160006.78,i,Good,low
2017-11-01T00:00:00Z,01:37,SHER,NA,NA,BSA,NA,Nitzschia inconspicua,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Nitzschia,inconspicua,250.24,500.48,19891.98,i,Good,low
2017-11-01T00:00:00Z,01:37,SHER,NA,NA,BSA,NA,Nitzschia sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Nitzschia,sp.,375.36,1126.07,304924.69,i,Good,low
2017-11-01T00:00:00Z,01:37,SHER,NA,NA,BSA,NA,Rhoicosphenia abbreviata,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Rhoicosphenia,abbreviata,125.12,125.12,49655.38,i,Good,low
2017-11-01T00:00:00Z,01:37,SHER,NA,NA,BSA,NA,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Chlorella,sp.,6631.33,351460.35,5806786.18,i,Good,low
2017-11-01T00:00:00Z,01:37,SHER,NA,NA,BSA,NA,Drepanochloris nannoselene,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Drepanochloris,nannoselene,125.12,125.12,330.33,i,Good,low
2017-11-01T00:00:00Z,01:37,SHER,NA,NA,BSA,NA,cf. Oocystis sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Oocystis,sp.,125.12,500.48,7528.67,c,Good,low
2017-11-01T00:00:00Z,01:37,SHER,NA,NA,BSA,NA,Plagioselmis nannoplanctica,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Soft Body,Plagioselmis,nannoplanctica,125.12,125.12,42212.88,i,Good,low
2017-11-01T00:00:00Z,01:37,SHER,NA,NA,BSA,cf. Plagioselmis prolonga,Teleaulax amphioxeia,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Soft Body,Teleaulax,amphioxeia,1876.79,28151.86,4193364.14,i,Good,low
2017-11-01T00:00:00Z,01:37,SHER,NA,NA,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Eucapsis,microscopica,42415.47,29224259.29,3305183.07,c,Good,low
2017-11-28T00:00:00Z,02:05,SHER,NA,NA,BSA,NA,Achnanthidium minutissimum,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Achnanthidium,minutissimum,675.64,2026.93,311767.27,i,BrokenDiatoms,low
2017-11-28T00:00:00Z,02:05,SHER,NA,NA,BSA,NA,Cyclotella sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Diatom,Cyclotella,sp.,225.21,225.21,35838.66,i,BrokenDiatoms,low
2017-11-28T00:00:00Z,02:05,SHER,NA,NA,BSA,NA,Nitzschia sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Nitzschia,sp.,675.64,2026.93,290297.49,i,BrokenDiatoms,low
2017-11-28T00:00:00Z,02:05,SHER,NA,NA,BSA,NA,Ulnaria ulna,Chromista,Ochrophyta,Fragilariophyceae,Pennate Diatoms,Diatom,Ulnaria,ulna,225.21,225.21,122411.67,i,Fragmented BrokenDiatoms,low
2017-11-28T00:00:00Z,02:05,SHER,NA,NA,BSA,NA,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Chlorella,sp.,11711.17,608981.06,11458924.55,i,BrokenDiatoms,low
2017-11-28T00:00:00Z,02:05,SHER,NA,NA,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Eucapsis,microscopica,81978.22,59762121.98,16135772.93,c,BrokenDiatoms,low
2017-11-28T00:00:00Z,02:05,SHER,NA,NA,BSA,NA,cf. Ochromonas sp.,Chromista,Ochrophyta,Chrysophyceae,Chrysophytes,Soft Body,Ochromonas,sp.,3603.44,57655.01,7298206.93,i,BrokenDiatoms,low
2017-11-28T00:00:00Z,02:05,SHER,NA,NA,BSA,NA,Plagioselmis nannoplanctica,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Soft Body,Plagioselmis,nannoplanctica,225.21,225.21,121318.71,i,BrokenDiatoms,low
2018-02-14T00:00:00Z,02:02,SHER,NA,NA,BSA,NA,Cyclotella sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Diatom,Cyclotella,sp.,965.21,2895.62,147554.13,i,Good,moderate
2018-02-14T00:00:00Z,02:02,SHER,NA,NA,BSA,NA,Fragilaria capucina,Chromista,Ochrophyta,Fragilariophyceae,Pennate Diatoms,Diatom,Fragilaria,capucina,643.47,1286.94,543324.58,i,Good,moderate
2018-02-14T00:00:00Z,02:02,SHER,NA,NA,BSA,NA,Nitzschia sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Nitzschia,sp.,321.74,321.74,100888.23,i,Good,moderate
2018-02-14T00:00:00Z,02:02,SHER,NA,NA,BSA,NA,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Chlorella,sp.,12225.95,464586.14,11161269.28,i,Good,moderate
2018-02-14T00:00:00Z,02:02,SHER,NA,NA,BSA,NA,Plagioselmis nannoplanctica,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Soft Body,Plagioselmis,nannoplanctica,643.47,1286.94,272770.76,i,Good,moderate
2018-02-14T00:00:00Z,02:02,SHER,NA,NA,BSA,cf. Plagioselmis prolonga,Teleaulax amphioxeia,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Soft Body,Teleaulax,amphioxeia,321.74,321.74,51198.09,i,Good,moderate
2018-02-14T00:00:00Z,02:02,SHER,NA,NA,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Eucapsis,microscopica,116790.01,85607074.77,22949745.52,c,Good,moderate
2018-03-13T00:00:00Z,01:40,SHER,NA,NA,BSA,NA,Cyclotella sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Diatom,Cyclotella,sp.,643.47,2573.88,664397.6,i,Good,low
2018-03-13T00:00:00Z,01:40,SHER,NA,NA,BSA,NA,Navicula sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Navicula,sp.,321.74,643.47,157481.65,i,Fragmented,low
2018-03-13T00:00:00Z,01:40,SHER,NA,NA,BSA,NA,Nitzschia inconspicua,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Nitzschia,inconspicua,321.74,643.47,22969.67,i,Good,low
2018-03-13T00:00:00Z,01:40,SHER,NA,NA,BSA,NA,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Chlorella,sp.,7078.18,311440.02,5048491.33,i,Good,low
2018-03-13T00:00:00Z,01:40,SHER,NA,NA,BSA,NA,Monoraphidium contortum,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Monoraphidium,contortum,643.47,2573.88,41541.95,i,Good,low
2018-03-13T00:00:00Z,01:40,SHER,NA,NA,BSA,NA,Plagioselmis nannoplanctica,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Soft Body,Plagioselmis,nannoplanctica,321.74,643.47,123351.87,i,Good,low
2018-03-13T00:00:00Z,01:40,SHER,NA,NA,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Eucapsis,microscopica,57108.06,40603831.38,7292213.75,c,Good,low
2018-07-25T00:00:00Z,01:59,SHER,NA,NA,BSA,NA,Amphora sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Amphora,sp.,375.36,375.36,782246.73,i,BrokenDiatoms,low
2018-07-25T00:00:00Z,01:59,SHER,NA,NA,BSA,NA,Cyclotella meneghiniana,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Diatom,Cyclotella,meneghiniana,375.36,375.36,445944.68,i,BrokenDiatoms,low
2018-07-25T00:00:00Z,01:59,SHER,NA,NA,BSA,NA,Cyclotella sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Diatom,Cyclotella,sp.,750.72,1501.43,229014.23,i,BrokenDiatoms,low
2018-07-25T00:00:00Z,01:59,SHER,NA,NA,BSA,NA,Nitzschia inconspicua,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Nitzschia,inconspicua,750.72,1501.43,83996.14,i,BrokenDiatoms,low
2018-07-25T00:00:00Z,01:59,SHER,NA,NA,BSA,NA,Nitzschia sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Nitzschia,sp.,375.36,375.36,150881.96,i,BrokenDiatoms,low
2018-07-25T00:00:00Z,01:59,SHER,NA,NA,BSA,NA,Skeletonema cf. potamos,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Diatom,Skeletonema,potamos,1876.79,9383.95,1824638.76,c,BrokenDiatoms,low
2018-07-25T00:00:00Z,01:59,SHER,NA,NA,BSA,NA,Ulnaria ulna,Chromista,Ochrophyta,Fragilariophyceae,Pennate Diatoms,Diatom,Ulnaria,ulna,750.72,1501.43,632740.72,i,Fragmented BrokenDiatoms,low
2018-07-25T00:00:00Z,01:59,SHER,NA,NA,BSA,NA,Ulnaria ulna,Chromista,Ochrophyta,Fragilariophyceae,Pennate Diatoms,Diatom,Ulnaria,ulna,375.36,375.36,2571666.08,i,BrokenDiatoms,low
2018-07-25T00:00:00Z,01:59,SHER,NA,NA,BSA,NA,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Chlorella,sp.,14263.61,542017.17,9299534.95,i,BrokenDiatoms,low
2018-07-25T00:00:00Z,01:59,SHER,NA,NA,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Eucapsis,microscopica,137381.08,100975095.29,11420004.59,c,BrokenDiatoms,low
2018-07-25T00:00:00Z,01:59,SHER,NA,NA,BSA,NA,Snowella sp.,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Snowella,sp.,375.36,3002.87,1146.2,c,BrokenDiatoms,low
2018-08-09T00:00:00Z,01:30,SHER,NA,NA,BSA,NA,Achnanthidium sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Achnanthidium,sp.,328.55,328.55,19782.53,i,BrokenDiatoms,moderate
2018-08-09T00:00:00Z,01:30,SHER,NA,NA,BSA,NA,Nitzschia reversa,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Nitzschia,reversa,328.55,328.55,166645.05,i,BrokenDiatoms,moderate
2018-08-09T00:00:00Z,01:30,SHER,NA,NA,BSA,NA,cf. Nitzschia sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Nitzschia,sp.,328.55,328.55,90029.78,i,BrokenDiatoms,moderate
2018-08-09T00:00:00Z,01:30,SHER,NA,NA,BSA,NA,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Chlorella,sp.,1642.75,8213.74,184392.46,i,BrokenDiatoms,moderate
2018-08-09T00:00:00Z,01:30,SHER,NA,NA,BSA,Plagioselmis prolonga,Teleaulax amphioxeia,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Soft Body,Teleaulax,amphioxeia,328.55,328.55,40338.4,i,BrokenDiatoms,moderate
2018-08-09T00:00:00Z,01:30,SHER,NA,NA,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Eucapsis,microscopica,132733.98,107514527.45,19352614.94,c,BrokenDiatoms,moderate
2018-08-09T00:00:00Z,01:30,SHER,NA,NA,BSA,NA,Chroococcus minimus,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Chroococcus,minimus,328.55,657.1,7552.72,c,BrokenDiatoms,moderate
2018-08-09T00:00:00Z,01:30,SHER,NA,NA,BSA,NA,Snowella sp.,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Snowella,sp.,328.55,3285.49,11799.4,c,BrokenDiatoms,moderate
2019-04-16T00:00:00Z,9:13,SHER,NA,0,BSA,NA,Aulacoseira alpigena,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Diatom,Aulacoseira,alpigena,10302.41,164838.5,18675922.09,i,Good,NA
2019-04-16T00:00:00Z,9:13,SHER,NA,0,BSA,NA,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Chlorella,sp.,2575.6,10302.41,36999.66,i,Good,NA
2019-04-16T00:00:00Z,9:13,SHER,NA,0,BSA,NA,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Eucapsis,microscopica,254984.55,205517550.69,36993159.12,c,Good,NA
2019-04-23T00:00:00Z,9:10,SHER,NA,3,BSA,NA,Adlafia sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Adlafia,sp.,300.49,300.49,10286.37,i,Good,NA
2019-04-23T00:00:00Z,9:10,SHER,NA,3,BSA,NA,Cyclotella sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Diatom,Cyclotella,sp.,600.97,1201.95,82891.32,i,Good,NA
2019-04-23T00:00:00Z,9:10,SHER,NA,3,BSA,NA,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Chlorella,sp.,901.46,2704.38,13113.67,i,Good,NA
2019-04-23T00:00:00Z,9:10,SHER,NA,3,BSA,NA,Plagioselmis nannoplanctica,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Soft Body,Plagioselmis,nannoplanctica,300.49,300.49,101378.51,i,Good,NA
2019-04-23T00:00:00Z,9:10,SHER,NA,3,BSA,NA,cf. Dolichospermum sp.,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Dolichospermum,sp.,300.49,300.49,43207.96,i,Good,NA
2019-04-23T00:00:00Z,9:10,SHER,NA,3,BSA,NA,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Eucapsis,microscopica,118992.79,95432219.16,17177799.45,c,Good,NA
2019-05-21T00:00:00Z,9:59,SHER,NA,0,BSA,NA,Cyclotella sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Diatom,Cyclotella,sp.,409.75,409.75,65204.67,i,Good,NA
2019-05-21T00:00:00Z,9:59,SHER,NA,0,BSA,NA,Melosira varians,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Diatom,Melosira,varians,1639.02,6556.08,29295212.29,i,Good,NA
2019-05-21T00:00:00Z,9:59,SHER,NA,0,BSA,NA,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Chlorella,sp.,6556.08,104897.23,376723.81,i,Good,NA
2019-05-21T00:00:00Z,9:59,SHER,NA,0,BSA,NA,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Eucapsis,microscopica,156116.58,121146463.17,21806363.37,c,Good,NA
2019-05-21T00:00:00Z,9:59,SHER,NA,0,BSA,NA,cf. Microcystis sp.,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Microcystis,sp.,409.75,409.75,37677.87,i,Good,NA
2019-03-29T00:00:00Z,NA,SHER,NA,0,BSA,NA,Achnanthidium catenatum,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Achnanthidium,catenatum,563.41,563.41,26130.69,i,Good,NA
2019-03-29T00:00:00Z,NA,SHER,NA,0,BSA,NA,Cocconeis placentula,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Cocconeis,placentula,563.41,563.41,223633.51,i,Good,NA
2019-03-29T00:00:00Z,NA,SHER,NA,0,BSA,NA,cf. Cyclotella sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Diatom,Cyclotella,sp.,563.41,563.41,605180.87,i,Good,NA
2019-03-29T00:00:00Z,NA,SHER,NA,0,BSA,NA,Melosira sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Diatom,Melosira,sp.,563.41,563.41,1106788.6,i,Fragmented,NA
2019-03-29T00:00:00Z,NA,SHER,NA,0,BSA,NA,cf. Surirella sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Surirella,sp.,563.41,563.41,6680025.84,i,Good,NA
2019-03-29T00:00:00Z,NA,SHER,NA,0,BSA,NA,Ankyra sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Ankyra,sp.,563.41,563.41,6642.86,i,Good,NA
2019-03-29T00:00:00Z,NA,SHER,NA,0,BSA,NA,cf. Chlamydomonas sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Chlamydomonas,sp.,563.41,563.41,14942.74,i,Good,NA
2019-03-29T00:00:00Z,NA,SHER,NA,0,BSA,NA,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Chlorella,sp.,7324.37,95216.77,341957.79,i,Good,NA
2019-03-29T00:00:00Z,NA,SHER,NA,0,BSA,NA,Cryptomonas sp.,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Soft Body,Cryptomonas,sp.,563.41,563.41,239083.8,i,Good,NA
2019-03-29T00:00:00Z,NA,SHER,NA,0,BSA,NA,Plagioselmis nannoplanctica,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Soft Body,Plagioselmis,nannoplanctica,563.41,563.41,177327.34,i,Good,NA
2019-03-29T00:00:00Z,NA,SHER,NA,0,BSA,Plagioselmis prolonga,Teleaulax amphioxeia,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Soft Body,Teleaulax,amphioxeia,563.41,563.41,40243,i,Good,NA
